missing_rate,ari_mean,ari_knn,ari_dae,nmi_mean,nmi_knn,nmi_dae
0,0.48646170703514696,0.4757185153090701,0.467398362385663,0.6649892756846046,0.6548886398865645,0.6254208715572461
5,0.47231687316099863,0.4993322957568542,0.4668861952805213,0.6242160752611261,0.625337392333933,0.6329598980506849
10,0.4724710325464289,0.4775291574640523,0.48333439681647944,0.6192833242264135,0.624271948837774,0.6320336396083244
15,0.45191498581065076,0.49279279011127713,0.45756832252268315,0.6277260883090914,0.6660618356551866,0.6162813126346768
20,0.475392396679866,0.4089387972228453,0.4247426868927478,0.6423805846394318,0.5842252615585227,0.5928345260097505
25,0.397773344931696,0.46836016298357397,0.45866998359934413,0.5913867438950898,0.6277178697929681,0.6271621012508939
30,0.42927053986478875,0.4663055576889358,0.44902325664161036,0.6212256118446786,0.6188898673180233,0.6079723774198725
35,0.40314023568298274,0.5151218330530949,0.4607155750295552,0.5888678631561219,0.6442221168881701,0.6283859544490573
40,0.46340240679549377,0.5230324205106391,0.4657570399666184,0.6208354432401464,0.6526464608147174,0.6125750091076847
45,0.39860857136577715,0.4515841228781451,0.43013824670808176,0.5703944797224513,0.6149893396310996,0.586797724304985
50,0.43511761704732094,0.46242284843173825,0.4696048634844278,0.5792780052099828,0.6184083077433721,0.6129173143036265
55,0.4170403142803759,0.5137983399795576,0.40183744134443466,0.5879018432606381,0.6434227479302798,0.5766186410099848
60,0.4571976881429629,0.4668900133336812,0.35484418274550444,0.600480376746399,0.6219930910680349,0.5336307583741884
65,0.4080670109191332,0.5418997451406732,0.4361397307504479,0.5413332429613277,0.6555959999194355,0.593475491342161
70,0.3778461073882721,0.5149061575683319,0.4632232480222739,0.5337158202291377,0.6438954356840246,0.6313945508968726
75,0.34634335630490815,0.48988040023838286,0.45634806470256467,0.48596766026343424,0.628780842924491,0.6200979096304519
80,0.3328416370427889,0.44154354923401734,0.39337032614952194,0.46221745596924624,0.6027229114142492,0.57285389886862
85,0.29177375551311985,0.4104420801119484,0.3996930896165239,0.41494493485446216,0.5759602740672356,0.5819304994244641
90,0.2022254007642923,0.3716421674593859,0.389442748774831,0.33592091957772724,0.5340193303704,0.553830074967622
95,0.0780175737678573,0.28129984833135224,0.37797717861739005,0.11454108369161185,0.3903357091988052,0.5320884163965345
