missing_rate,ari_mean,ari_knn,ari_dae,nmi_mean,nmi_knn,nmi_dae,acc_mean,acc_knn,acc_dae
0,0.7577299067960539,0.708205287801095,0.7628963437120007,0.8099915484265147,0.7826081741011439,0.8085182523665929,0.8049333333333333,0.7896333333333333,0.844
2,0.7165819770579779,0.7379727566331755,0.674280493337568,0.7874752920721606,0.7970785296974412,0.7559871310192079,0.7849333333333334,0.8031666666666667,0.7714166666666666
4,0.7561831483081813,0.6901236074608633,0.5958193129662408,0.8090944417529425,0.7632465132055045,0.7222423962820604,0.8064,0.7784666666666666,0.7072666666666667
6,0.5679938332617077,0.77850275106337,0.6526236946879015,0.6620970831143489,0.8156546175464845,0.7445703884044569,0.7029666666666666,0.8528,0.7500666666666667
8,0.7030622948355861,0.7509963034741531,0.6656612702252593,0.7818265148635055,0.8074129901157175,0.7527757033770854,0.7679833333333334,0.8016333333333333,0.7465166666666667
10,0.6628725741132135,0.7701108966588631,0.5750973865208149,0.733925733030445,0.796903615310949,0.7053656839599582,0.77975,0.8793166666666666,0.6962333333333334
12,0.4444902986044825,0.5881284062107764,0.5911906906326296,0.577294874974887,0.6939314806610908,0.7244888765837507,0.5798666666666666,0.7099666666666666,0.6684333333333333
14,0.5059330300935377,0.6111839639972888,0.5426859148130228,0.6178626745076379,0.696119669212939,0.6838227230632213,0.6547,0.73535,0.6525166666666666
16,-3.947549520063247e-07,0.5754577992126453,0.5003961573059914,0.0001449588847397602,0.6679433682135204,0.6548534740136026,0.11235,0.6878666666666666,0.6041833333333333
18,0.47501177892792373,0.6285199845342484,0.4779362147099687,0.5738611152303582,0.6960298952716323,0.6212350338843095,0.6179833333333333,0.7500666666666667,0.60155
20,0.05531042638118789,0.5740550757671363,0.462279115544715,0.08684525638510465,0.6570799433203456,0.6339015186362698,0.19423333333333334,0.69175,0.5874333333333334
22,0.06265021406863583,0.5338032104449236,0.47521441138045456,0.11981800149030904,0.6047984845897352,0.6257232283427635,0.20171666666666666,0.6712833333333333,0.5906
